time_of_day,day_of_week,vehicle_count,weather,road_type,traffic_level
10,2,238,1,2,High
9,1,177,3,0,High
13,4,113,3,1,Medium
1,4,5,0,0,Low
15,4,52,0,1,Low
12,3,98,3,1,Medium
11,5,133,2,2,Medium
18,6,121,1,2,Medium
17,3,211,1,1,High
7,4,153,2,0,Medium
2,4,27,3,1,Low
5,4,55,1,1,Low
14,4,117,3,1,Medium
18,3,251,0,1,High
16,5,50,2,2,Low
15,6,85,0,2,Low
15,5,69,3,0,Low
3,1,24,3,1,Low
4,0,5,3,2,Low
0,4,44,3,0,Low
12,5,94,2,0,Low
18,4,193,2,0,High
23,5,101,1,2,Medium
21,0,88,1,2,Low
20,1,226,2,0,High
16,4,50,0,1,Low
15,6,163,1,0,Medium
4,5,33,2,0,Low
20,4,263,1,1,High
20,5,109,0,1,Medium
12,3,159,1,0,Medium
7,6,100,1,1,Medium
17,3,276,0,1,High
16,6,148,2,2,Medium
20,5,153,1,2,Medium
5,3,30,1,1,Low
14,2,152,2,2,Medium
0,6,5,3,1,Low
3,1,5,3,0,Low
19,4,218,1,1,High
12,5,106,2,2,Medium
10,5,115,3,0,Medium
2,2,18,0,1,Low
4,1,13,3,1,Low
5,0,16,0,0,Low
13,1,165,0,1,High
8,1,286,0,2,High
23,5,103,2,2,Medium
3,0,16,3,0,Low
14,6,93,3,1,Medium
22,5,68,3,1,Low
23,2,83,2,2,Low
10,6,86,3,0,Low
2,2,35,2,0,Low
9,6,175,0,0,High
11,0,57,0,0,Low
9,2,218,0,0,High
3,6,26,1,1,Low
16,3,88,2,1,Medium
5,3,21,1,1,Low
0,4,5,1,0,Low
22,3,120,1,2,Medium
23,6,97,0,2,Low
7,4,105,3,2,Medium
19,3,182,2,2,High
23,5,95,2,1,Medium
14,2,137,3,1,High
11,4,115,1,1,Medium
19,0,161,3,0,Medium
0,1,26,1,1,Low
3,4,10,2,2,Low
17,1,217,0,2,High
1,4,5,3,1,Low
4,0,5,0,0,Low
23,5,92,2,2,Low
11,1,112,1,0,Medium
1,3,18,2,2,Low
21,3,73,3,0,Low
8,4,209,1,1,High
4,4,14,2,2,Low
3,0,21,0,1,Low
7,6,96,3,1,Medium
0,6,29,2,2,Low
16,0,86,2,2,Low
20,2,192,2,2,High
2,6,36,2,1,Low
0,3,41,1,2,Low
5,0,42,0,0,Low
22,0,104,1,1,Medium
4,2,22,1,0,Low
14,3,130,0,2,Medium
4,4,5,2,0,Low
18,2,163,3,1,High
4,3,25,2,1,Low
5,5,41,3,2,Low
10,3,275,1,0,High
0,6,29,3,2,Low
3,3,28,0,0,Low
16,3,54,2,1,Low
13,0,117,1,2,Medium
13,4,152,0,1,High
0,6,14,1,2,Low
14,0,171,0,0,Medium
8,2,205,2,0,High
5,1,33,2,1,Low
16,2,84,2,2,Low
6,3,110,1,0,Medium
10,5,197,1,1,High
6,0,66,3,0,Low
21,5,119,3,2,Medium
16,6,169,0,0,Medium
16,4,84,0,1,Medium
18,1,325,0,1,High
17,1,307,1,0,High
5,2,12,2,0,Low
22,6,126,2,1,Medium
13,1,123,3,0,Medium
17,6,123,0,0,Medium
23,6,153,2,2,Medium
4,2,47,2,0,Low
7,1,193,2,1,High
10,3,158,3,0,Medium
13,6,87,2,1,Medium
6,0,81,2,0,Low
18,3,166,0,1,High
14,4,61,3,2,Low
22,6,100,3,0,Medium
8,1,283,0,2,High
23,0,133,1,1,High
22,0,123,1,2,Medium
8,1,265,0,0,High
21,5,76,2,1,Medium
12,1,107,2,0,Medium
9,3,204,0,1,High
4,0,13,1,1,Low
20,1,221,1,0,High
5,2,30,3,1,Low
20,6,106,1,0,Medium
20,3,211,1,1,High
21,2,117,0,2,Medium
18,1,214,0,0,High
10,3,232,0,2,High
2,5,24,1,2,Low
4,0,17,1,2,Low
2,3,14,2,0,Low
1,4,5,0,0,Low
10,1,191,0,2,High
17,4,210,3,2,High
1,3,5,2,0,Low
22,0,107,2,1,Medium
18,6,187,0,0,High
21,5,118,3,0,Medium
11,6,115,2,1,Medium
9,6,110,0,2,Medium
21,1,90,2,1,Medium
8,2,163,3,1,High
17,6,123,1,2,Medium
6,0,87,1,2,Low
11,3,68,0,1,Low
10,1,248,2,2,High
14,0,87,3,0,Low
17,0,179,3,0,High
1,6,35,2,1,Low
22,4,92,0,1,Medium
2,2,50,2,1,Low
20,3,203,0,2,High
6,3,80,0,0,Low
12,5,122,3,1,Medium
4,0,5,3,0,Low
14,0,167,0,2,Medium
10,3,255,1,2,High
23,2,60,1,0,Low
19,3,225,2,0,High
13,1,144,2,1,High
8,0,164,1,2,Medium
4,5,19,2,2,Low
19,1,304,0,0,High
17,1,254,1,0,High
2,5,12,0,0,Low
3,5,30,0,1,Low
23,2,28,2,0,Low
1,3,33,1,0,Low
4,2,11,2,1,Low
5,2,5,0,1,Low
4,3,5,3,0,Low
12,0,184,1,0,High
18,1,188,2,1,High
12,4,128,0,1,Medium
7,3,260,0,2,High
8,4,235,2,0,High
3,6,5,2,1,Low
10,4,299,1,0,High
22,1,111,1,2,Medium
6,6,154,1,1,High
11,6,136,1,0,Medium
16,0,112,0,2,Medium
12,2,85,3,1,Medium
9,0,171,3,1,High
14,5,119,0,0,Medium
19,3,244,1,2,High
11,5,150,0,1,High
23,2,89,1,1,Medium
11,3,72,2,2,Low
6,4,70,2,0,Low
14,2,126,2,1,Medium
13,1,147,0,0,Medium
6,6,81,2,0,Low
19,1,219,2,1,High
10,2,237,2,0,High
20,6,97,3,0,Low
5,2,5,0,0,Low
5,6,62,1,0,Low
23,3,135,1,2,Medium
7,3,199,1,0,High
20,6,94,2,1,Medium
2,4,5,3,0,Low
19,5,117,2,0,Medium
16,5,110,3,0,Medium
21,5,89,0,0,Low
7,2,164,3,0,Medium
20,1,320,1,1,High
5,2,49,0,0,Low
8,2,282,1,2,High
16,3,75,0,1,Medium
15,5,177,1,0,High
17,3,293,0,1,High
8,4,256,1,0,High
21,6,199,1,1,High
17,6,156,1,1,High
7,2,168,0,2,Medium
5,0,44,2,2,Low
17,3,190,3,1,High
14,2,80,2,2,Low
21,1,93,2,2,Low
13,2,128,1,1,Medium
11,4,93,0,0,Low
3,4,43,3,0,Low
17,5,122,1,2,Medium
23,0,51,2,2,Low
18,2,232,0,0,High
0,6,18,3,0,Low
23,3,72,0,1,Low
17,0,192,2,0,High
3,1,12,2,1,Low
6,1,77,2,2,Low
2,4,26,1,0,Low
2,1,34,3,1,Low
11,5,105,1,1,Medium
5,4,31,0,1,Low
19,1,167,2,1,High
1,2,19,0,0,Low
11,3,106,0,2,Medium
10,1,148,2,1,High
9,4,259,1,1,High
4,3,5,3,2,Low
21,3,84,3,0,Low
4,3,53,0,0,Low
14,5,119,3,2,Medium
17,5,120,1,0,Medium
0,6,12,2,1,Low
0,0,29,2,1,Low
19,4,240,1,2,High
17,4,305,0,2,High
10,1,212,2,1,High
12,3,112,3,1,Medium
20,0,245,2,0,High
4,6,13,1,2,Low
22,6,167,1,2,Medium
17,1,218,0,1,High
7,0,174,3,2,Medium
13,3,143,0,0,Medium
15,5,181,0,0,High
1,1,16,3,1,Low
8,0,163,3,0,Medium
8,2,216,3,1,High
3,5,23,2,1,Low
12,0,96,2,2,Low
21,6,79,0,0,Low
11,1,54,2,2,Low
0,0,45,3,0,Low
5,1,29,2,2,Low
13,1,105,1,1,Medium
20,1,183,3,1,High
20,4,180,1,0,High
1,4,5,2,2,Low
13,1,132,3,2,Medium
20,6,159,2,2,Medium
20,3,169,2,0,Medium
18,6,67,3,0,Low
18,1,279,1,0,High
20,3,239,1,2,High
2,1,5,3,1,Low
16,4,71,3,1,Low
11,1,50,2,0,Low
23,0,106,1,0,Medium
19,3,218,1,2,High
11,4,63,1,2,Low
21,4,63,1,0,Low
14,1,94,3,1,Medium
23,0,69,1,2,Low
17,2,183,3,2,High
17,2,224,3,1,High
4,6,45,0,2,Low
22,4,113,0,1,Medium
14,2,90,3,2,Low
9,0,235,1,0,High
1,2,5,2,0,Low
9,5,153,0,2,Medium
10,6,53,3,1,Low
5,1,42,3,2,Low
4,0,5,3,2,Low
0,2,5,1,0,Low
16,3,99,1,0,Low
20,5,127,3,1,Medium
2,5,45,1,1,Low
1,5,35,0,2,Low
19,5,66,3,1,Low
12,4,132,2,2,Medium
9,5,134,1,0,Medium
11,0,53,3,2,Low
12,6,80,3,2,Low
7,3,204,0,0,High
19,5,174,1,1,High
0,4,14,3,1,Low
3,0,19,2,1,Low
20,1,189,2,0,High
10,2,141,3,1,High
3,1,27,2,1,Low
10,6,122,1,0,Medium
16,1,108,1,1,Medium
23,1,37,1,1,Low
15,6,102,3,1,Medium
20,2,200,1,2,High
17,5,68,3,1,Low
1,0,47,0,1,Low
13,0,148,1,1,High
2,0,25,1,0,Low
7,4,236,1,0,High
12,3,93,3,0,Low
19,1,201,0,2,High
10,5,177,1,2,High
18,4,162,2,1,High
1,5,17,2,1,Low
8,6,73,2,0,Low
13,2,78,2,0,Low
6,0,109,0,2,Medium
19,3,228,3,1,High
4,3,12,2,1,Low
21,5,122,2,0,Medium
22,1,87,1,2,Low
14,4,190,1,2,High
4,0,54,0,0,Low
12,4,170,0,1,High
3,0,7,2,0,Low
19,6,165,0,1,High
19,3,297,1,2,High
19,4,226,1,1,High
12,0,143,0,0,Medium
0,1,9,3,0,Low
17,1,136,3,0,Medium
22,1,111,3,2,Medium
14,0,107,3,2,Medium
4,3,23,0,2,Low
12,0,117,2,2,Medium
18,2,129,3,0,Medium
20,1,221,2,1,High
19,6,112,2,2,Medium
4,4,18,1,1,Low
9,5,93,2,0,Low
8,1,224,2,1,High
3,5,44,3,1,Low
9,4,174,3,2,Medium
21,4,76,0,2,Low
1,2,35,1,2,Low
17,6,136,0,0,Medium
17,5,116,3,1,Medium
11,2,84,1,0,Low
22,6,128,0,0,Medium
20,4,217,1,0,High
7,5,130,2,2,Medium
21,2,70,0,1,Low
17,1,269,0,0,High
17,6,89,2,2,Low
11,4,98,1,2,Low
23,2,56,2,1,Low
6,3,66,2,0,Low
15,0,14,3,0,Low
3,2,43,3,1,Low
9,4,198,3,1,High
1,0,19,3,0,Low
21,1,94,1,1,Medium
16,5,117,1,0,Medium
10,2,197,2,2,High
4,1,5,3,2,Low
9,5,115,2,1,Medium
20,5,61,3,2,Low
5,5,7,3,0,Low
22,6,49,3,0,Low
23,4,54,3,1,Low
23,5,75,3,1,Medium
18,6,116,3,2,Medium
18,5,119,3,0,Medium
5,4,36,2,2,Low
22,0,82,2,0,Low
14,2,171,0,1,High
16,5,114,3,2,Medium
5,6,13,1,2,Low
15,4,88,0,0,Low
2,4,46,2,0,Low
5,0,34,2,0,Low
2,5,12,1,2,Low
4,3,5,0,0,Low
3,5,14,1,1,Low
23,0,86,3,1,Medium
11,3,77,0,2,Low
3,4,30,1,1,Low
6,2,42,2,1,Low
15,5,132,2,1,High
5,3,57,0,0,Low
19,1,241,1,2,High
3,1,5,0,2,Low
14,1,95,3,2,Low
14,6,163,0,1,High
23,5,142,0,0,Medium
17,4,239,2,2,High
23,0,69,2,2,Low
0,1,7,0,2,Low
22,0,123,0,0,Medium
10,0,177,2,1,High
1,5,13,1,1,Low
9,4,223,0,1,High
1,1,12,1,2,Low
23,6,88,3,1,Medium
2,2,10,2,0,Low
20,3,277,1,2,High
19,5,133,2,0,Medium
19,3,308,1,2,High
16,6,74,1,0,Low
11,0,73,1,2,Low
19,6,156,0,2,Medium
18,4,239,2,2,High
9,3,161,3,0,Medium
20,6,126,0,2,Medium
13,1,107,1,1,Medium
6,2,105,0,2,Medium
10,5,108,0,0,Medium
15,2,144,0,1,High
21,2,31,3,0,Low
13,6,146,3,0,Medium
22,4,75,0,1,Medium
3,3,36,1,1,Low
4,0,5,2,0,Low
19,1,203,1,1,High
8,3,178,1,1,High
11,0,100,2,1,Medium
11,0,43,0,1,Low
15,4,88,3,1,Medium
20,2,182,3,1,High
17,1,195,2,0,High
21,0,70,0,2,Low
2,0,22,3,0,Low
1,2,5,3,2,Low
19,3,253,0,2,High
3,1,14,0,2,Low
2,0,28,0,0,Low
11,0,96,2,0,Low
17,2,277,0,1,High
1,5,22,1,1,Low
2,2,12,1,2,Low
16,0,68,3,1,Low
22,5,140,3,0,Medium
18,2,264,1,2,High
19,4,189,2,1,High
22,0,58,3,2,Low
23,5,139,0,0,Medium
16,5,140,0,0,Medium
13,2,166,0,2,Medium
8,3,252,2,1,High
21,0,66,3,2,Low
16,5,90,3,2,Low
17,4,233,2,0,High
19,4,233,2,0,High
8,3,225,2,0,High
0,4,5,2,2,Low
13,6,113,2,0,Medium
19,4,252,1,0,High
19,0,174,0,2,Medium
3,5,5,3,0,Low
11,1,91,3,1,Medium
0,6,25,1,1,Low
17,0,280,0,1,High
7,2,173,3,1,High
12,0,148,2,1,High
12,3,104,3,0,Medium
16,5,114,0,1,Medium
19,3,223,0,1,High
20,0,223,3,1,High
21,5,188,0,0,High
16,0,118,0,0,Medium
22,0,81,2,0,Low
13,2,154,2,0,Medium
0,3,35,2,0,Low
0,4,11,1,2,Low
7,0,222,2,1,High
12,6,130,2,0,Medium
17,1,232,1,1,High
17,4,191,2,2,High
19,0,293,0,1,High
8,6,133,1,2,Medium
9,1,193,2,2,High
13,1,131,2,1,High
2,3,9,1,2,Low
5,2,5,3,1,Low
8,5,126,3,2,Medium
14,1,204,0,0,High
22,0,125,1,0,Medium
17,3,235,2,0,High
20,5,167,1,1,High
1,2,36,2,2,Low
10,1,235,2,0,High
23,6,74,1,0,Low
4,0,17,0,2,Low
9,3,243,1,2,High
10,0,222,0,1,High
7,1,175,3,1,High
3,0,13,0,1,Low
23,2,59,2,2,Low
13,5,163,2,2,Medium
5,2,50,0,2,Low
4,1,50,0,0,Low
22,5,136,3,1,High
12,2,130,2,1,High
15,5,103,3,0,Medium
16,4,104,1,0,Medium
18,2,240,1,1,High
18,1,253,0,0,High
20,3,185,2,2,High
23,4,63,2,0,Low
18,4,285,0,2,High
21,0,62,3,1,Low
6,4,60,3,0,Low
3,5,33,2,2,Low
10,5,96,0,2,Low
21,2,104,2,0,Medium
8,5,99,1,1,Medium
15,3,86,3,1,Medium
5,2,25,0,1,Low
14,2,127,2,0,Medium
17,3,223,2,2,High
6,4,86,2,2,Low
19,4,309,0,0,High
7,2,180,2,1,High
12,6,140,1,0,Medium
17,5,109,0,1,Medium
21,1,65,1,1,Low
11,1,114,0,2,Medium
14,2,104,2,1,Medium
16,6,131,1,2,Medium
3,0,30,0,0,Low
12,4,94,3,0,Low
2,1,18,2,2,Low
13,5,73,3,1,Low
12,4,107,3,1,Medium
5,1,42,3,0,Low
15,5,108,3,1,Medium
12,6,106,2,1,Medium
7,6,145,1,1,High
21,4,51,2,0,Low
16,0,62,1,0,Low
18,4,171,2,0,Medium
16,6,117,2,1,Medium
3,5,36,3,1,Low
13,3,145,0,2,Medium
3,4,5,2,2,Low
11,6,92,2,1,Medium
23,1,129,2,2,Medium
14,0,110,2,0,Medium
21,5,201,0,2,High
7,0,226,1,0,High
10,0,181,0,2,High
1,3,5,3,1,Low
18,0,217,1,2,High
22,1,115,0,0,Medium
23,6,107,1,2,Medium
20,2,220,0,0,High
11,2,83,0,2,Low
8,4,169,3,2,Medium
4,1,47,0,0,Low
2,6,21,3,1,Low
11,0,38,3,2,Low
4,4,5,3,2,Low
8,0,229,1,2,High
0,3,21,0,2,Low
23,6,66,3,1,Low
5,3,36,3,0,Low
21,5,125,0,0,Medium
21,5,154,1,0,Medium
20,1,238,1,0,High
23,1,52,1,0,Low
2,0,5,2,2,Low
21,3,66,3,0,Low
3,1,5,3,1,Low
22,3,108,3,2,Medium
11,2,117,1,0,Medium
8,1,192,0,1,High
20,0,228,0,2,High
19,0,316,1,2,High
12,6,101,3,2,Medium
10,0,224,2,0,High
21,2,73,3,2,Low
1,1,10,3,0,Low
11,1,23,3,1,Low
23,3,75,1,2,Low
21,0,141,0,2,Medium
9,2,177,0,2,High
20,3,162,2,2,Medium
10,0,243,0,2,High
23,5,100,3,0,Medium
8,5,88,1,1,Medium
19,0,206,2,1,High
5,2,31,1,2,Low
13,4,177,1,1,High
17,5,107,1,1,Medium
2,5,30,1,0,Low
12,2,103,3,0,Medium
11,5,137,0,2,Medium
11,2,65,0,0,Low
22,6,171,1,1,High
5,3,31,3,2,Low
16,2,85,2,0,Low
1,6,12,3,0,Low
3,6,15,1,0,Low
23,1,81,1,0,Low
4,1,24,3,0,Low
9,6,161,2,0,Medium
7,1,175,2,2,High
2,3,24,0,0,Low
8,5,89,3,2,Low
18,0,178,3,0,High
16,2,71,3,0,Low
16,6,127,2,1,Medium
17,4,192,3,0,High
17,3,190,0,1,High
12,3,75,3,2,Low
8,0,235,0,1,High
21,1,69,3,0,Low
3,4,26,3,2,Low
11,1,74,2,2,Low
14,6,109,2,1,Medium
20,5,110,3,2,Medium
17,3,212,0,0,High
15,2,72,3,2,Low
13,0,118,2,1,Medium
4,0,23,2,2,Low
7,6,111,0,1,Medium
9,3,216,2,1,High
22,4,91,3,2,Low
20,5,129,0,0,Medium
4,0,19,1,2,Low
2,2,10,1,2,Low
11,5,123,2,2,Medium
8,4,261,0,2,High
4,0,34,3,2,Low
14,5,90,3,2,Low
20,5,110,0,0,Medium
9,1,132,3,2,Medium
16,2,27,3,1,Low
15,3,72,2,0,Low
5,0,39,0,2,Low
16,0,62,2,1,Low
6,2,90,1,0,Low
16,1,91,2,0,Low
5,5,5,3,0,Low
16,3,51,3,2,Low
16,2,92,1,2,Low
3,1,53,0,2,Low
13,1,131,0,1,High
23,2,67,0,2,Low
16,2,124,0,0,Medium
15,5,116,3,0,Medium
18,3,146,3,2,Medium
19,6,59,3,2,Low
18,0,244,0,2,High
17,6,130,2,2,Medium
7,3,176,0,0,High
4,2,14,3,0,Low
4,0,13,3,1,Low
17,0,187,2,1,High
14,6,86,3,0,Low
21,6,81,2,2,Low
18,5,105,0,0,Medium
9,0,244,0,1,High
9,0,216,1,1,High
8,4,278,1,1,High
16,2,41,0,2,Low
1,0,6,2,1,Low
5,5,34,1,2,Low
14,5,106,3,2,Medium
11,2,88,3,2,Low
20,1,184,1,2,High
9,0,294,0,1,High
1,4,16,3,0,Low
9,4,186,2,2,High
20,2,210,3,1,High
12,3,142,0,0,Medium
6,0,39,0,2,Low
3,0,42,0,1,Low
5,5,55,0,1,Low
2,3,25,2,0,Low
14,6,102,3,0,Medium
18,3,246,0,2,High
17,3,299,0,2,High
14,3,154,2,2,Medium
1,2,14,0,1,Low
10,1,181,1,2,High
5,6,33,2,2,Low
2,1,51,1,0,Low
7,2,243,1,1,High
5,2,39,0,2,Low
21,4,105,0,1,Medium
1,4,64,1,2,Low
10,4,223,2,1,High
10,1,179,0,0,High
6,4,102,2,1,Medium
14,0,152,2,2,Medium
0,5,12,1,0,Low
16,1,64,3,0,Low
12,6,85,3,2,Low
4,0,17,3,2,Low
20,4,195,2,1,High
12,6,134,1,2,Medium
13,1,190,0,1,High
15,0,98,0,0,Low
5,2,41,0,2,Low
21,4,121,1,2,Medium
22,2,130,1,0,Medium
14,4,143,2,0,Medium
19,6,84,3,2,Low
22,4,78,1,0,Low
17,5,126,1,1,Medium
16,5,120,2,1,Medium
14,3,105,2,1,Medium
13,6,102,2,2,Medium
23,2,108,0,0,Medium
0,2,7,2,1,Low
17,1,226,2,0,High
1,4,33,3,2,Low
16,4,71,3,0,Low
23,1,46,0,2,Low
16,2,97,2,1,Medium
20,0,223,0,1,High
2,6,36,0,0,Low
15,0,85,1,0,Low
21,0,90,2,2,Low
18,2,223,1,0,High
2,2,48,0,1,Low
17,2,181,3,1,High
21,5,116,3,2,Medium
3,6,5,3,0,Low
12,4,142,1,2,Medium
9,4,137,2,2,Medium
7,2,135,2,1,High
10,2,204,1,2,High
8,3,185,2,1,High
15,0,89,3,0,Low
15,4,103,1,2,Medium
2,4,11,2,0,Low
8,6,73,3,1,Low
15,6,90,2,2,Low
3,1,42,0,0,Low
11,1,55,0,0,Low
7,2,214,0,0,High
11,1,83,3,2,Low
16,1,66,1,1,Low
22,1,128,1,0,Medium
14,2,155,1,2,Medium
12,3,133,0,1,High
3,6,8,1,1,Low
3,6,16,2,1,Low
4,3,5,3,0,Low
0,4,5,2,1,Low
2,6,9,0,1,Low
23,5,77,2,2,Low
7,4,163,1,1,High
10,0,239,1,0,High
19,3,181,2,0,High
9,2,219,0,2,High
14,4,139,0,0,Medium
20,2,241,1,2,High
20,2,208,1,1,High
23,1,150,0,2,Medium
2,2,5,3,0,Low
18,0,145,3,0,Medium
10,1,221,1,0,High
19,2,253,2,2,High
22,3,92,0,2,Low
18,4,158,3,1,High
9,3,178,1,0,High
10,4,226,1,2,High
23,6,88,2,0,Low
22,0,72,2,2,Low
21,2,33,0,2,Low
14,3,157,1,1,High
13,5,169,1,1,High
14,3,101,3,1,Medium
5,2,10,3,1,Low
12,1,195,0,0,High
21,1,56,2,2,Low
7,4,137,3,1,High
19,3,222,2,1,High
6,4,112,2,2,Medium
20,6,122,3,2,Medium
18,3,291,0,1,High
22,0,64,3,2,Low
20,6,90,3,0,Low
18,5,94,2,1,Medium
11,1,98,1,2,Low
5,1,22,3,2,Low
2,4,26,1,0,Low
11,6,89,3,2,Low
23,3,105,1,2,Medium
3,4,26,0,0,Low
3,6,25,1,1,Low
21,1,55,2,2,Low
13,5,143,0,1,High
13,2,70,3,1,Low
22,6,135,2,1,High
20,1,201,0,1,High
15,1,72,2,0,Low
14,6,116,2,2,Medium
16,0,82,3,1,Medium
15,0,93,2,1,Medium
2,1,5,3,2,Low
7,4,303,0,0,High
5,2,18,0,0,Low
21,3,87,3,2,Low
12,2,159,1,2,Medium
20,5,134,2,2,Medium
5,6,5,3,1,Low
2,1,36,2,2,Low
4,5,19,3,0,Low
19,6,63,2,1,Low
12,6,162,1,1,High
19,4,232,0,1,High
0,6,10,0,0,Low
17,2,217,0,2,High
7,2,225,1,2,High
6,4,105,0,0,Medium
22,1,75,1,1,Medium
6,4,82,3,1,Medium
10,4,282,1,0,High
7,2,160,3,2,Medium
11,6,145,0,2,Medium
0,0,21,3,0,Low
2,2,25,1,0,Low
11,0,93,0,1,Medium
7,2,300,1,0,High
9,5,113,2,2,Medium
16,0,62,3,1,Low
23,5,145,1,1,High
18,5,105,3,0,Medium
18,2,123,3,0,Medium
7,2,140,2,2,Medium
18,5,99,3,1,Medium
18,3,218,3,1,High
10,3,237,1,0,High
16,0,99,3,2,Low
18,1,223,3,2,High
23,2,59,3,0,Low
15,0,59,2,1,Low
11,2,56,0,2,Low
23,6,122,1,0,Medium
2,1,9,3,1,Low
19,1,153,2,2,Medium
2,1,24,2,0,Low
11,0,109,0,1,Medium
22,6,90,1,2,Low
15,6,100,3,0,Medium
2,1,47,0,0,Low
19,5,116,0,1,Medium
13,3,113,2,1,Medium
23,0,147,1,0,Medium
10,3,203,2,2,High
17,4,206,3,2,High
22,2,43,3,1,Low
19,0,163,3,2,Medium
12,4,162,2,0,Medium
5,4,5,0,0,Low
7,3,157,2,1,High
11,3,89,2,1,Medium
21,3,140,1,1,High
20,6,119,1,2,Medium
11,0,88,2,1,Medium
14,0,198,0,0,High
21,1,131,0,2,Medium
5,2,12,0,1,Low
21,1,83,0,0,Low
15,5,144,0,1,High
13,6,94,3,0,Low
12,0,106,2,0,Medium
4,5,26,1,0,Low
1,1,18,2,0,Low
5,5,5,2,1,Low
16,0,48,1,1,Low
11,6,141,2,2,Medium
14,3,119,2,0,Medium
19,3,212,2,1,High
7,4,267,0,0,High
17,0,200,2,0,High
4,6,20,2,1,Low
15,3,59,3,1,Low
12,1,102,2,2,Medium
14,2,110,2,0,Medium
7,6,92,3,2,Low
2,5,46,1,1,Low
4,4,55,0,2,Low
12,6,145,0,1,High
11,3,66,0,2,Low
9,1,208,2,1,High
4,1,20,3,1,Low
10,2,238,0,2,High
8,2,258,0,1,High
21,0,32,3,1,Low
9,2,200,0,2,High
17,0,211,2,0,High
9,2,269,0,2,High
19,6,125,1,0,Medium
12,6,181,0,1,High
22,6,176,0,0,High
19,1,249,1,2,High
20,4,187,1,0,High
1,3,7,0,1,Low
15,0,92,2,1,Medium
15,5,157,0,2,Medium
15,1,53,3,0,Low
21,1,82,1,2,Low
14,6,148,3,2,Medium
22,5,99,2,0,Low
16,3,144,0,0,Medium
21,4,65,2,0,Low
15,5,152,1,2,Medium
2,6,5,3,2,Low
9,4,147,3,0,Medium
19,0,201,1,2,High
21,1,103,0,1,Medium
18,6,135,1,0,Medium
3,5,11,3,2,Low
6,2,122,2,1,Medium
14,0,83,3,0,Low
17,1,275,0,2,High
21,1,76,3,0,Low
12,1,104,0,1,Medium
18,1,219,1,2,High
18,6,132,0,1,High
1,1,15,3,0,Low
15,5,115,2,0,Medium
23,0,28,2,2,Low
14,1,149,3,2,Medium
20,1,239,2,1,High
3,3,26,2,1,Low
17,2,195,2,0,High
2,1,27,2,0,Low
15,1,52,3,1,Low
